Personaje
idPersonaje;descripcion
1394;Garrido
1395;Ciccio
1396;Femme du gouverneur
1397;Tania
1398;Galvez
1399;Bea
1400;Curé
1401;Jeronimo
1402;Fanzina
1403;Graffiti Guy
1404;Tirant
1405;BumBum
1406;Cualquiercosa
1407;Clara Montesinos
1408;Miembro junta corporacion
1409;Antonio Robles
1410;Ginés
1411;Damián Ibáñez
1412;Jornalero
1413;Don Emilio
1414;Olimpia
1415;Additional Voices
1416;Betsy
1417;Ross
1418;Mr. Peabody
1419;Big Ben Healy
1420;Murph
1421;Yoji
1422;Miss Hill
1423;Spencer
1424;Juez Cervelo
1425;Padre Saila
1426;Abogado Defensor
1427;Confesor
1428;Matt
1429;Murk
1430;Jamie
1431;Doctor García
1432;Willie Dingle
1433;Professor Poopsnaggle
1434;Mike
1435;Peter
1436;Count Sator
1437;Sparkes
1438;Robyn
1439;Shorty
1440;Joanne
1441;Kevin-Rubén
1442;Demetrio
1443;Rocío
1444;Superintendent
1445;Balbillus
1446;Nero
1447;Epaphrodites
1448;Crispus
1449;Eunice
1450;Mark the Evangelist
1451;Pomponia
1452;Piso
1453;Petronius
1454;Cassius Longinus
1455;Aulus Plautius
1456;Volusius Proculus
1457;Phaon
1458;Scaevinus
1459;Aliturus
1460;Epicaris
1461;Lucan
1462;Ursus
1463;Paul of Tarsus
1464;Ephrem
1465;Gito
1466;Acte
1467;Tigellinus
1468;Crysothemis
1469;Marcus Vinicius
1470;Poppaea
1471;Lygia
1472;Phaemius Rufus
1473;Polybia
1474;Seneca
1475;Mime
1476;Chilo
1477;Crazed Woman
1478;Pedanius
1479;The Apostle Peter
1480;Newsreader
1481;Herself - Comentarista
1482;Ferran Aiguader
1483;Soledat
1484;Martí Aiguader
1485;Marc Fontcuberta
1486;Tía Juana
